mutant,operator,info,status
 147,COI,nayajson:85 ,killed by test_number_parsing
 148,COI,nayajson:85 ,killed by test_number_parsing
 149,COI,nayajson:87 ,killed by test_number_parsing
 150,COI,nayajson:90 ,killed by test_number_parsing
 151,COI,nayajson:93 ,killed by test_number_parsing
 152,COI,nayajson:100,killed by test_arrays
 153,COI,nayajson:101,killed by test_number_parsing
 154,COI,nayajson:104,killed by test_number_parsing
 155,COI,nayajson:107,killed by test_number_parsing
 156,COI,nayajson:114,killed by test_arrays
 157,COI,nayajson:115,killed by test_number_parsing
 158,COI,nayajson:118,+survived
 159,COI,nayajson:118,+survived
 160,COI,nayajson:123,killed by test_arrays
 161,COI,nayajson:124,killed by test_number_parsing
 162,COI,nayajson:124,killed by test_number_parsing
 163,COI,nayajson:129,killed by test_arrays
 164,COI,nayajson:130,killed by test_number_parsing
 165,COI,nayajson:130,killed by test_number_parsing
 166,COI,nayajson:132,killed by test_number_parsing
 167,COI,nayajson:139,killed by test_arrays
 168,COI,nayajson:140,killed by test_number_parsing
 169,COI,nayajson:140,killed by test_number_parsing
 170,COI,nayajson:142,killed by test_number_parsing
 171,COI,nayajson:145,killed by test_number_parsing
 172,COI,nayajson:152,killed by test_arrays
 173,COI,nayajson:153,killed by test_number_parsing
 174,COI,nayajson:153,killed by test_number_parsing
 175,COI,nayajson:158,killed by test_arrays
 176,COI,nayajson:159,+survived
 177,COI,nayajson:163,killed by test_arrays
 178,COI,nayajson:164,+survived
 179,COI,nayajson:168,killed by test_arrays
 180,COI,nayajson:169,+survived
 181,COI,nayajson:173,killed by test_arrays
 182,COI,nayajson:174,+survived
 183,COI,nayajson:180,killed by test_arrays
 184,COI,nayajson:181,killed by test_objects
 185,COI,nayajson:185,killed by test_arrays
 186,COI,nayajson:186,killed by test_objects
 187,COI,nayajson:190,killed by test_arrays
 188,COI,nayajson:191,killed by test_objects
 189,COI,nayajson:197,killed by test_arrays
 190,COI,nayajson:198,killed by test_objects
 191,COI,nayajson:202,killed by test_arrays
 192,COI,nayajson:203,killed by test_objects
 193,COI,nayajson:207,killed by test_arrays
 194,COI,nayajson:208,killed by test_objects
 195,COI,nayajson:214,killed by test_arrays
 196,COI,nayajson:215,killed by test_arrays
 197,COI,nayajson:219,killed by test_arrays
 198,COI,nayajson:223,killed by test_arrays
 199,COI,nayajson:224,killed by test_arrays
 200,COI,nayajson:229,killed by test_string_parsing
 201,COI,nayajson:231,killed by test_string_parsing
